turkey cock	kolo
navel	landi
bird	laa
axe	achá
water	ta̱kui̱í
frog	láꞌo̱
bread	páa̱n
hat	mvélo̱
liter	litró
hummingbird	ndiyoꞌo
snail	ndiyiyi
bat	chidi̱ꞌi̱
daꞌa̱n	daꞌa̱n nda̱ꞌí
cold sore	ichi̱
Thursday	jóve̱xi̱
Monday	lúnexi̱
Tuesday	mártexi̱
Wednesday	miérkólexi̱
Friday	viérnexi̱
Saturday	sáto̱
Sunday	ndaminguí
opossum	sáko
hospital	veꞌe tata̱
clothing	dáꞌo̱n
pencil	lápi̱
bone	lásá
milk	lechí
machete	machití
river	yu̱ta
yoke	yukú
plain	yódo̱
priest	duti̱
raccoon	máꞌa̱
stone	yuu̱
rain	dai̱
dog	ti̱na
squirrel	ndikuéín
sandal	ndisa̱
ti̱na	ti̱na nduta̱
water	ndúta̱
Mixtec	to̱ꞌon ndaꞌí
Spanish	to̱ꞌon dáꞌán
smoke	ñoꞌo̱ma̱
delicious	adi̱
rainbow	chi̱yángí
