net	уу
ten	он
river	чай
barley	арба
gland	бес
taste	там
May	май
what	не
honey	бал
there is	бар
fire	от
cheese	сыр
village	јурт
not	јок
belt	кур
thigh	сан
father	ада
left	сол
mist	туман
foot	бут
stallion	айгыр
moon	ай
white	ак
money	акча
narrow	тар
swamp	сас
healthy	су
oath	черт
ear	кулак
house	тура
fur coat	тон
mind	ой
six	алты
flour	ун
forty	кырык
one	бир
sable	киш
food	аш
medicine	эм
men	эр
memory	эс
frog	бака
sand	кум
son	уул
snow	кар
cauldron	казан
bronze	коло
black	кара
feast	той
spring	јас
hand	кол
pair	кош
foot	таман
finger	бармак
fish	балык
head	баш
back	арка
four	тӧрт
dirt	кир
back	арт
crow	карга
lake	кӧл
he	ол
sun	кӱн
sea	талай
root	тамыр
word	сӧс
mirror	кӱскӱ
polecat	кӱзен
night	тӱн
gold	алтын
poison	оо
whetstone	чар
land	эл
every	ар
layer	кат
soul	кут
star	јылдыс
waist	бел
gray	бос
little	ас
together	кожо
space	ара
two	эки
five	беш
you	сен
blood	кан
time	чак
child	бала
meat	эт
red	кызыл
yellow	сары
yesterday	кече
fodder	јемиш
fir	узак
long	узун
cow	сыйыр
cow	инек
fifty	бежен
eight	сегис
steel	болот
wolf	бӧрӱ
summer	јай
heart	јӱрек
eye	кӧс
bone	сӧӧк
half	јарым
snake	јылан
pillow	јастык
egg	јымыртка
song	кожоҥ
song	сарын
east	кӱнчыгыш
beaver	кумдус
death	ӧлӱм
wild cat	мааны
axe	малта
mushroom	мешке
hail	мӧндӱр
silver	мӧҥӱн
silver	кӱмӱш
carrot	моркоп
mole	момон
horn	мӱӱс
mouth	оос
street	ором
palace	ӧргӧӧ
soap	самын
dictionary	сӧзлик
camel	тӧӧ
ocean	теҥис
knee	тизе
squirrel	тийиҥ
north	тӱндӱк
south	тӱштӱк
reed	камыш
voice	ӱн
needle	ийне
shore of river	токой
tail	куйрук
pig	чочко
eyebrow	каш
history	тарых
clothes	кийим
evening	кеч
sleep	уйку
turnip	чалкан
milk	сӱт
mountain	туу
rock	кайа
dense	туус
sugar	шикир
sugar	чикир
mane	јал
land	јер
cow	уй
goose	кас
nine	тогус
seven	јети
growth	ур
sheep	кой
slave	кул
wing	канат
cast iron	чой
ash	кӱл
bear	айу
fox	тӱлкӱ
hare	койон
cloud	булут
drop	тамчы
smoke	тӱдӱн
smoke	ыш
finger	сабар
rain	јаҥмыр
rain	јааш
wind	салкын
wind	јел
firm	бек
other	башка
swan	куу
calf	бозу
falcon	ылаачын
sweet	тату
take	алар
holiday	байрам
cheese	быштак
king	батша
boat	кеме
sell	садар
bird	куш
family	биле
every	сайын
sand	кумак
strong	тыҥ
willow	тал
rich	бай
salt	тус
skin	тере
knucklebone	сака
collar	јака
wave	толку
light brown	сур
this	бу
mother	эне
damp	чий
tongue	тил
foal	кулун
Devil	шайтан
bee	адару
солундар	солун
blue	кӧк
activity	эрчим
enemy	ӧштӱ
time	ӧй
door	эжик
window	кӧзнӧк
бичиктер	бичик
who	кем
person	кижи
movement	кыймык
puppy	кӱчӱк
oar	адалгы
noun	адалгыш
goal	амаду
drunkard	аракызак
vodka	аракы
gudgeon	боскос
ice	мус
whence	кайдаҥ
beer	сыра
winter	кыш
sword	кылыш
mosque	мечет
yak	сарлык
worker	ишчи
work	иш
poison	корон
prestige	тоомјы
history	тӱӱки
coat of arms	кебедел
girl	кыс
cotton	пахта
autumn	кӱс
water	суу
elder brother	ака
face	бет
hour	саат
fight	кӱреш
handle	сап
rifle	мылтык
empty	бош
мен	бис
tooth	тиш
key	ачкыч
lamb	козы
guest	конок
hair	чач
millet	тару
tent	оду
clear	ару
rowan	беле
solid	кату
cat	киске
dry	куру
question	суру
tüŋür	тӱҥӱр
sky	теҥери
inside	ич
arrow	ок
bird cherry	јодро
owner	ээ
butterfly	кӧбӧлӧк
hear	угар
steam	буу
way	јол
raisin	ӱзӱм
side	јан
here	мында
thee	бистиҥ
God	кудай
people	калык
dagger	канјыл
self	ӧс
when	качан
tent	чатыр
feeling	сезим
heavy	уур
people	јон
lie	јадар
yes	эйе
pain	оору
shoulder	ийин
oar	кайык
blade	мис
China	Кыдат
chin	ээк
place	орын
need	керек
trace	ис
grow rich	байыыр
lone	јаҥыс
ermine	агас
copper	јес
game	ойын
wheat	буудай
be	болор
koumiss	хымыс
religion	шајын
hail	мӧндӱрлеер
right	оҥ
iron	темир
freedom	эркин
crane	турна
in front of	алдында
dawn	таҥ
for	учун
yurt	айыл
together	бирге
enter	кирер
morning	эртен
stand	турар
interrogative	кайда
this	мындый
saddle	ээр
first	баштапкы
canteen	ашкана
lip	эрин
goat	эчки
sleeve	јеен
sleeve	јеҥ
red	јеерен
short	кыска
flower	чечек
cold	соок
wisely	эп
worm	курт
go	кедер
ant	кумурска
early	эрте
war	согыш
luck	ырыс
old	эски
neck	мойын
hook	илмек
male	эркек
grey	чал
freedom	эрик
rotten	чирик
breath	тыныш
bark	кабык
sign	белги
associative converb	-й
coffin	межик
mountainous	туулу
Ob	Кадын
concessive	болзо
subject	албаты
seventy	јетен
drink	ичер
milky	сӱттӱ
knife	бычак
forget	ундыыр
eat	јиир
open	ачар
write	бичиир
run	јӱгӱрер
fast	јӱгӱрӱк
know	билер
give	берер
rain	јаар
spend	конор
fly	учар
play	ойноор
bronze	кӱлер
beat	согор
live	јажаар
see	кӧрӧр
come	келер
cut	кезер
grow	ӧзӧр
lead	коргожын
nose	мурун
nail	тырмак
pluperfect	э-
bow	јаа
friend	јолдош
spoon	кожык
arrow	јебе
wide	кеҥ
how many	канча
hook	ыргак
shadow	кӧлӧтки
toy	ойынчык
fireplace	очок
thick	јоон
victory	јеҥӱ
winner	јеҥӱчи
win	јеҥер
light	јеҥил
freeze	тоҥор
ice cream	тоҥдырма
new	јаҥы
anew	јаҥыдаҥ
cry	ыйлаар
fat	семис
bell	коҥору
one	сыҥар
thread	сиҥир
thread	јип
thread	јибек
tall	бийик
light	јарык
six	алту
twenty	јирме
anvil	тӧжи
flood	ташкын
hole	тежик
hill	тӧбӧ
green	јажыл
young	јаш
elder sister	эје
leg	айак
bee	аару
middle	орто
firewood	одын
locust	чегертки
rag	чибирек
bear	ӧгӱс
price	баа
home brew	бојо
gray	бозорор
today	бӱгӱн
day after tomorrow	бирсӱӱн
bracelet	билерик
pigeon	кӧгӧрчин
hundred	јӱс
brother-in-law	баја
anniversary	јылдык
Bridge	кемирӱ
coal	кӧмӱр
felt	кийис
carpet	кебис
son-in-law	јесте
pike	чортон
shirt	кӱнек
small	кичӱ
barefoot	јылаҥайак
swallow	јудар
mole	меҥ
brain	мее
waist	мыкын
mitten	меелей
treeless slipping side	меес
ear	мажак
monkey	мечин
thousand	муҥ
fifty	ӧлӱ
pea	мырчак
pepper	мырч
milkmaid	саанчы
speak	сӧйлӧӧр
say	деер
stream	булак
grumble	мӧӧрӧ-
shine	мелтиреер
duodenum	мӧӧн
result	мӧрӧй
blind	согыр
moustache	мыйык
left-handed	сологой
cat	мыжык
pound	мынта
beetle	коҥус
put on	кийер
touch	тийер
shin	јодо
breast	эмчек
leaf	јалбырак
bad	јаман
good	јакшы
excitement spirit	ӧмӱт
bile	ӧт
fire	ӧрт
turn	эбирер
roe deer	элик
width	ээн
twin	эгис
cut	кыркар
fear	коркыыр
comb	тарак
thick	койу
pig	тоҥус
frost	кыру
slippery	тайгак
stick	тайак
paint	бойор
dye	бойу
other	ӧскӧ
chew	чайнаар
power	кӱч
home	ӱй
owl	ӱкӱ
frozen	тоҥ
sulfur	кӱӱрт
melody	кӱӱ
warm	јылу
dream	тӱш
most	эҥ
paper	кагас
sorrow	кайгы
thing	неме
mouse	чычкан
collar	мойынчык
search	истеер
grow old	карыыр
obsolete	эскирер
father-in-law	кайын ада
mother-in-law	кайын эне
birch	кайыҥ
hay	бичен
fasting	орозо
on	ӱстӱнде
near	јанында
between	аразында
behind	кийининде
after	соҥында
top	ӱст
front	алд
later	кийин
end	соҥ
news	кабар
deep	тереҥ
guard	сакчы
sieve	элгек
seller	садучы
enemy	тушман
gratitude	алкыш-быйан
jaw	јаак
liquid	суйук
field	тууган јери
birthday	тууган кӱни
marmot	сууры
opposite	терс
back to front	тескери
pearl	јинји
bey	маҥ
bit	сулук
nail	каду
ийер	бурыыр
armpit	колтук
prey	јем
border	куйу
horse	јылкы
draw near	ју-
matchmaker	јуучы
shoot	ат-
hungry	ач
tell	айтуу
food	курсак
rotate	айлануу
outside	тышкары
inside	ичкери
round	тегерик
form	кеп
fly	чымын
return home	јан-
cry	јап-
hero	баатыр
belt	кайыш
feather	јуҥ
hair	тӱк
thimble	оймок
spermophilus	јымран
back	кери
daughter-in-law	келин
hot	изӱ
set free	куткар-
swell	тиш-
paradise	учмак
far	ыраак
equal	теҥ
many	кӧп
luck	куун
hump	ӧркӧш
eraser	ӧчӱргиш
boot	ӧдӱк
river	ӧзӧн
send	ийе бер-
give	алып бер-
brown	кӱреҥ
three	ӱч
belly	карын
relative	карындаш
humanity	кижилик
rub	јыш-
smell	јыт
