pomegranate	نار
tent	چادر
testicle	خایه
snow	برف
testicle	گند
beet	چندر
fever	تو
red	سر
well	چه
cloud	ابر
nose	دماغ
courtyard	حیاط
onion	پیاز
red	سرخ
fig	انجیر
fear	ترس
sour	ترش
eyebrow	برگ
hair	می
brick	آجر
lamb	بره
cool	خنک
hawthorn	کل
almond	بادم
belly	کم
fly	پشه
night	شو
wheat	گندم
column	ستين
palm	مخ
snow	بل
hill	تل
hammam	حموم
tooth	دندون
sister	دده
mouse	مشک
clever	زرنگ
large	گت
sting	نشت
fly	پخشه
egg	خاگ
cheek	لپ
sunlight	افتو
eye	چیش
crow	قلا
stream	جوغ
tomato	تماته
neck	مل
chick	جیجه
blood	خین
dream	خو
lip	لو
yoghurt	ماس
wheat	گنم
plate	دوری
alley	کیچه
father	بوا
mirror	اینه
cheek	سپ
dew	شونم
roof	بون
leaf	بلگ
fiancé	نومزاد
lock	قلف
expensive	گرون
finger	پنجه
lung	سس
eyebrow	برم
tomorrow	سوا
bitter	تهل
shoe	ارسی
tomato	گرجه
thyme	اوشم
fire	تش
thigh	رون
ewer	افتوه
earring	گوشوار
pistachio	پسه
ginger	زنجفیل
coriander	گیشنیز
kebab	کواب
sleeve	آفتین
berry	تیت
dill	شود
watermelon	هندونه
brother	کاکا
bridegroom	دوماد
courtyard	فده
skin	پوس
lung	سفیده
swallow	پرسوک
leech	زالی
knee	زانی
onion	پیا
fennel	راجونه
squash	کدی
sparrow	بجشک
sparrow	بیجیشک
afternoon	پسین
easy	آسون
cheap	ارزون
moustache	سویل
moustache	سیویل
skinny	لر
crow	قلاغ
castrated	خسی
bird	باهنده
sting	نیشت
ant	موری
snow	بهل
year	پارنه
now	حالی
red	سهر
termite	رشمیز
porcupine	چوله
