Gujarati	ગુજરાતી
1	૧
French	ફ્રાંસીસી
Chinese	ચીની
sindoor	સિંદૂર
fruit	ફળ
India	ભારત
feather	પીછું
tongue	لسان
voice	અવાજ
how are you	તમે કેમ છો
how are you	કેમ છે
milk	દૂધ
2	૨
3	૩
4	૪
5	૫
6	૬
7	૭
8	૮
9	૯
house	گھر
Libra	તુલા
lamp	ચિરાગ
light	દીપ
light	દીપિકા
light	દીપક
candle	બત્તી
world	دنيا
heart	دل
day	دن
hot	گرم
slipper	ચંપલ
blood	ખૂન
all	تمام
morning	صبح
earth	પૃથ્વી
heart	قلب
cloud	ابر
salutation	સલામ
hair	بال
flower	ફૂલ
flower	પુષ્પ
flower	સુમન
fish	માછલી
nose	નાક
butterfly	પતંગિયું
butterfly	ફૂદું
horse	ઘોડો
thing	વસ્તુ
egg	ઈંડું
angel	ફિરસ્તો
honey bee	نحل
sword	તલવાર
friend	મિત્ર
evening	شام
o	૦
lakh	લાખ
river	નદી
island	દ્વીપ
beach	સમુદ્રતટ
honour	عزت
chaunk	વઘાર
salt	નમક
bee	મધમાખી
nine	નવ
caste	જાત
caste	જાતિ
caste	નાત
caste	ન્યાત
caste	વર્ણ
caste	જ્ઞાતિ
caste	કોળી
Sanskrit	સંસ્કૃત
Karnataka	કર્ણાટક
language	ભાષા
eggplant	રીંગણ
mouth	મુખ
penis	શિશ્ન
Asia	એશિયા
Gujarat	ગુજરાત
Pakistan	પાકિસ્તાન
masturbation	હસ્તમૈથુન
Andhra Pradesh	આંધ્ર પ્રદેશ
bird	પનખિદ
Estonia	ઈસ્ટોનિયા
heart	فؤاد
star	તારો
camel	ઊંટ
Maharashtra	મહારાષ્ટ્ર
religion	ધર્મ
religious	ધાર્મિક
music	સંગીત
story	ઇતિહાસ
geography	ભૂગોળ
tongue	જીભ
good	સારું
eggplant	વેંગણ
Christmas	નાતાલ
plant	છોડ
heroicness	વીર્ય
boy	છોકરો
year	સાલ
navel	નાભિ
Russia	રશિયા
molecule	અણુ
consonant	ફ
man	પુરુષ
Agni	અગ્નિ
fire	આગ
historic	ઐતિહાસિક
girl	છોકરી
child	છોકરું
childish	છોકરમત
star	સિતારો
sword	શમશેર
bird	પંખી
honey	મધ
sweet	મધુર
fisherman	માછી
fisherwoman	માછણ
hospital	ઇસ્પિતાલ
love	ઇશ્ક
world	દુનિયા
daughter	દીકરી
son	દીકરો
poor	દીન
eagle	ગરુડ
pumpkin	કોળું
elbow	કોણી
effort	કોશિશ
thumb	અંગૂઠો
bad	ખરાબ
alcohol	શરાબ
liquor	મદ્ય
alcohol	આલ્કોહોલ
letter	અક્ષર
whole	અક્ષત
ignorant	અજ્ઞાની
ignorance	અજ્ઞાન
suddenly	અચાનક
town	શહેર
cigarette	સિગારેટ
tobacco	તમાકુ
sky	આકાશ
sky	આસમાન
sky	આભ
tremble	કંપવું
long	લાંબું
cry	રોવું
garlic	લસણ
army	લશ્કર
round	ગોળ
globe	ગોળો
bullet	ગોળી
ship	જહાજ
alert	સાવધાન
vigilant	સતર્ક
sugar	શર્કરા
lion	સિંહ
forest	જંગલ
focus	ધ્યાન
ganja	ગાંજો
town	નગર
devotion	ભક્તિ
knowledge	જ્ઞાન
Holi	હોળી
decay	ક્ષય
health	આરોગ્ય
truth	سچ
courtyard	آنگن
proverb	કહેવત
breakfast	નાસ્તો
pride	અભિમાન
flour	આટો
rupee	૱
English	અંગ્રેજી
nitrogen	નત્રલવાયુ
oxygen	પ્રાણવાયુ
truth	صدق
confusion	ابهام
I	હું
photographic	ચિત્રપટ
question	પ્રશ્ન
smile	મલકવું
to	અભિ-
poor	ગરીબ
Myanmar	બ્રહ્મદેશ
chair	આસંદી
chromosome	રંગસૂત્ર
foot	પગ
reason	کارن
hydrogen	ઉદજન
marble	આરસપહાણ
celebration	ઉજવણી
addition	ઉમેરણ
bitterness	કડવાશ
negotiation	વાટાઘાટ
compromise	તડજોડ
egotism	હુંપણું
existence	હોવાપણું
night	રાત
sugar	સાકર
lapis lazuli	લાજવર્દ
human	માણસ
poriferan	છિદ્રપ્રાણી
pineapple	અનનાસ
nanny	આયા
captain	કપ્તાન
cashew nut	કાજુ
auction	લિલામ
arbiter	લવાદ
patrol	રોન
