Monday	ორშაბათი
friend	მეგობარი
potassium	კალიუმი
father	მამა
mother	დედა
Sunday	კვირადღე
Georgian	ქართული
Mkhedruli	მხედრული
Tuesday	სამშაბათი
Wednesday	ოთხშაბათი
Saturday	შაბათი
Thursday	ხუთშაბათი
Friday	პარასკევი
Georgian	ქართველი
butterfly	პეპელა
Chinese	ჩინური
France	საფრანგეთი
Greece	საბერძნეთი
Russian	რუსული
Democratic Republic of Georgia	საქართველოს დემოკრატიული რესპუბლიკა
Greek	ბერძნული
I	მე
three	სამი
one	ერთი
English	ინგლისური
you	შენ
he	ის
he	იგი
we	ჩვენ
you	თქვენ
they	ისინი
two	ორი
four	ოთხი
five	ხუთი
six	ექვსი
seven	შვიდი
eight	რვა
nine	ცხრა
ten	ათი
brother	ძმა
Persian	სპარსული
government	დახმარება
Thai	ტაიური
alphabet	ანბანი
executioner	ჯალათი
chess	ჭადრაკი
clown	მასხარა
January	იანვარი
February	თებერვალი
army	ჯარი
slowly	ნელა
Abkhaz	აფხაზი
pregnancy	ორსულობა
leg	ფეხი
August	აგვისტო
human	ადამიანი
Arab	არაბი
Basque	ბასკი
hello	გამარჯობა
Dzhugashvili	ჯუღაშვილი
ruble	მანეთი
gold	ოქრო
shepherd dog	ნაგაზი
poetry	პოეზია
Jewish	ებრაული
parrot	თუთიყუში
March	მარტი
April	აპრილი
May	მაისი
June	ივნისი
July	ივლისი
September	სექტემბერი
October	ოქტომბერი
November	ნოემბერი
December	დეკემბერი
pimp	მამაშა
whip	შოლტი
apple	ვაშლი
value	ფასი
Georgian	ა
Georgian	ბ
Georgian	გ
Georgian	დ
Georgian	ე
Georgian	ვ
Georgian	ზ
Georgian	ჱ
Georgian	თ
Georgian	ი
Georgian	კ
Georgian	ლ
Georgian	მ
Georgian	ნ
Georgian	ჲ
Georgian	ო
Georgian	პ
Georgian	ჟ
Georgian	რ
Georgian	ს
Georgian	ტ
Georgian	ჳ
Georgian	უ
Georgian	ფ
Georgian	ქ
Georgian	ღ
Georgian	ყ
Georgian	შ
Georgian	ჩ
Georgian	ც
Georgian	ძ
Georgian	წ
Georgian	ჭ
Georgian	ხ
Georgian	ჴ
Georgian	ჯ
Georgian	ჰ
Georgian	ჵ
Georgian	ჶ
Georgian	ჷ
Georgian	ჸ
eleven	თერთმეტი
home page	მთავარი გვერდი
armpit	გვერდი
main	მთავარი
word divider	჻
zelkova	ძელქვა
ძელი ქვა	ძელი ქვა
tree	ძელი
stone	ქვა
fox	მელა
fish	თევზი
bowed	ჭუნირი
panduri	ფანდური
chonguri	ჩონგური
chang	ჩანგი
flute	სალამური
აი	აი
