ten	он
lost	тас
table	стол
physician	врач
Christmas tree	ёлка
there is	бар
fire	от
secret	сыр
chalk	бор
case	падеж
wet	дым
left	сол
who	ким
fog	туман
wart	мин
soap	сапун
saz	саз
few	аз
homeland	ватан
wind	ел
time	заман
narrow	тар
water	сув
Avar	авар
color	тюс
fur coat	тон
six	алты
sixty	алтмыш
one	бир
sixth	алтынчы
width	эн
husband	эр
memory	эс
road	ёл
and	ва
lesson	дарс
law	закон
wedding	той
enemy	душман
person	адам
street	орам
village	юрт
tomato	помидор
problem	проблема
subscriber	абонент
dog	ит
apple	алма
head	баш
year	йыл
dirt	кир
he	ол
sand	хум
golden	алтын
whetstone	чар
dust	чанг
people	эл
ice	буз
religion	дин
I	мен
star	юлдуз
grey	боз
sharp	итти
salt	туз
axe	балта
two	эки
five	беш
eight	сегиз
nine	тогъуз
thirty	отуз
forty	къыркъ
fifty	элли
eighty	сексен
ninety	токъсан
ear	къулакъ
you	сен
dictionary	сёзлюк
donkey	эшек
mineral	минерал
meat	эт
snow	къар
nose	бурун
milk	сют
door	эшик
scientist	алим
mother	ана
father	ата
girl	къыз
blood	къан
elephant	пил
long	узун
fish	балыкъ
cucumber	хыяр
duck	оьрдек
cat	мишик
rain	явун
rain	янгур
cow	сыйыр
cow	инек
egg	йымырткъа
pig	донгуз
freedom	азатлыкъ
wing	къанат
animal	гьайван
book	китап
snake	йылан
song	йыр
tiger	къаплан
north	темиркъазыкъ
south	къыбла
wolf	бёрю
east	гюнтувуш
west	гюнбатыш
mouse	чычкъан
fruit	емиш
bird	къуш
foot	аякъ
sea	денгиз
forest	орман
forest	агъачлыкъ
wood	агъач
tree	терек
leaf	япыракъ
mouth	авуз
horn	мююз
tail	къуйрукъ
heart	юрек
liver	бавур
town	шагьар
capital	тах шагьар
bone	сюек
people	халкъ
nation	миллет
color	ренк
history	тарих
needle	ине
state	пачалыкъ
garlic	самурсакъ
three	уьч
four	дёрт
seven	етти
twenty	йигирма
seventy	етмиш
hundred	юз
we	биз
you	сиз
birch	макъар
infinity	ахырсызлыкъ
beaver	хундуз
wealth	байлыкъ
pain	авуртув
beard	сакъал
paper	кагъыз
ox	оьгюз
branch	бутакъ
evening	ахшам
night	гече
eternity	даимлик
eternity	оьмюрлюк
wine	чагъыр
air	гьава
eye	гёз
throat	тамакъ
onion	согъан
pea	нохут
guest	къонакъ
hail	бурчакъ
mushroom	къолкъотур
day	гюн
house	уьй
store	тюкен
sun	гюнеш
bread	чёрек
pepper	бурч
mountain	тав
hill	тёбе
camel	тюе
song	сарын
literature	адабият
week	жума
skin	тери
friend	дост
nettle	къычытгъан
sugar	шекер
alive	сав
sister	иза
lion	арслан
mattress	матрас
fodder	ем
spring	яз
yellow	сари
single	тек
abundant	мол
оьсюмлюклер	оьсюмлюк
news	хабар
description	тасвир
fox	тюлкю
hare	тавшан
hare	къоян
cloud	булут
money	акъча
copper	багъыр
drop	тамчы
smoke	тютюн
river	оьзен
very	бек
goose	къаз
better	къолай
skinny	арыкъ
stone	таш
paltry	языкъ
Russian	рус
this	шу
they	олар
holiday	байрам
bad	яман
oak	эмен
every	сайын
towards	таба
wound	яра
rich	бай
summer	яй
October	байсан
warm	йылы
overcoat	палто
this	бу
happiness	бахт
before	алдын
raw	чий
part	пай
hair	тюк
tongue	тил
spoon	къашыкъ
son	улан
worker	ишчи
work	иш
spring	язбаш
autumn	гюз
winter	къыш
loop	петне
face	бет
potato	картоп
tin	къалай
Muslim	бусурман
period	замана
ship	геме
bullet	гюлле
sunflower	гюлайлан
having silver	гюмюшлю
first	биринчи
second	экинчи
fifth	бешинчи
eighth	сегизинчи
tenth	онунчу
empty	бош
king	пача
named	деген
desert	чёл
tooth	тиш
completely	лап
all	бары
hunt	ав
middle	орта
room	отав
hair	чач
poor	ярлы
order	низам
why	неге
garden	бав
human	инсан
guaranty	аманат
mare	байтал
debt	борч
war	дав
war	яв
familiar	таныш
peach	шаптал
last year	былтыр
question	суал
God	худай
yes	дюр
sour	туршу
sorrow	дерт
with	булан
morning	эртенги
precise	мекен
because	неге тюгюл
if	эгер
right	онг
far	узакъ
near	ювукъ
far	йыракъ
straight	тюз
right	герти
right	дурус
wrong	янгылыш
dry	къуру
wet	изгъар
wet	йибиген
wet	бавукъ
come	гелмек
sit	олтурмакъ
fall	йыгъылмакъ
fall	авмакъ
fall	тюшмек
fall	тёгюльмек
stand	турмакъ
die	оьлмек
sleep	юхламакъ
see	гёрмек
eat	ашамакъ
drink	ичмек
drink	ички
know	билмек
laugh	кюлемек
hear	эшитмек
think	ойлашмакъ
think	пикирлешмек
cut	гесмек
cut	туврамакъ
cut	тилмек
speak	сёйлемек
speak	лакъыр этмек
do	этмек
where	къайда
where	не ерде
very	кёп
very	оьтесиз
look for	ахтармакъ
look for	излемек
find	тапмакъ
throw	атмакъ
throw	ташламакъ
be	болмакъ
look	къарамакъ
wait	къаравулламакъ
wait	гёзлемек
dig	къазмакъ
begin	башламакъ
begin	башланмакъ
finish	битдирмек
exit	чыкъмакъ
enter	гирмек
like	хошуна гелмек
like	ушатмакъ
like	ушатдырмакъ
like	ушатылмакъ
like	ярамакъ
like	арив гёрмек
like	кепине гелмек
like	гёнгюне гирмек
love	сюймек
cry	йыламакъ
bite	хапмакъ
suck	сормакъ
suck	эммек
spit	тюкюрмек
vomit	къусмакъ
hurry	алгъасатмакъ
be sly	алдатмакъ
take	алмакъ
loose weight	арыкъланмакъ
caress	аявламакъ
destroy	дагъытмакъ
say	айтмакъ
say	демек
sell	сатмакъ
give	бермек
blow	уьфюрмек
twist	эшмек
cover	япмакъ
open	ачмакъ
open	ачыкъ
open	ачылгъан
closed	ябыкъ
closed	ябылгъан
closed	юмукъ
closed	юмулгъан
friend	ёлдаш
friend	къурдаш
noble	асыл
rat	лобан
guilt	айып
free	азат
all	бютюн
necessary	герек
physician	эмчи
how are you	ишлер нечикдир
good morning	танг яхшы болсун
good evening	геч яхшы болсун
dawn	танг
late	геч
good	яхшы
not	тюгюл
midnight	гечорта
noon	гюнорта
hold	тутмакъ
hurricane	топан
child	яш
relative	къардаш
younger brother	ини
older brother	агъа
sister	къызкъардаш
bridegroom	гиев
mother-in-law	къайын ана
father-in-law	къайын ата
in-law	къайын
piglet	торай
