water	पानी
fruit	फल
silver	रूप
pomegranate	अनार
day	दिन
frog	दादुर
dative case	हि
mind	मनु
Awadhi	अवधी
tiger	बाघ
first	पहिला
sea	सागर
forgiveness	छमा
small stone	अँकरौरी
week	हप्ता
dog	कूकर
giver	दाता
you	तुइ
daughter	बिटिया
woman	मेहरारू
cat	बेलइया
your	तोहार
of	कय
city	सहर
Sunday	अत्तवार
batter	बल्लेबाज
donkey	गदहा
finger	अंगुरी
and	अव
boy	लरिका
box	डेबिया
four	चारि
fish	मछरी
I	मइ
clever	सयाना
chameleon	गिरगिट
glass	काँच
our	हमार
test	परिच्छा
cut	काटब
cut	कटावब
be	होब
do	करब
play	बजावब
give	देब
see	देखब
die	मरब
humble request	बिनती
great lord	महाप्रभु
describe	बरनब
unblemished	बिमल
honour	जसु
mirror	मुकुरु
remember	सुमिरब
name	नाँव
wave	बीचि
sound	गिरा
anything	कछू
light	उजियारा
and	अउ
see	लखब
heavy	गरू
thin	पातर
good	नीक
boil	बरतोर
red velvet mite	बीरबहूटी
