water	পানি
name	নাম
one	এক
two	দুই
three	তিন
six	ছয়
seven	সাত
nine	নয়
ten	দশ
ear	কান
tea	চা
fruit	ফল
what	কি
book	বই
how much	কত
hundred	শ
cooked rice	ভাত
oil	তেল
twenty	বিশ
fifty	পঞ্চাশ
I	মই
you	তই
village	গাও
small	সুতু
today	অৗছকৗ
handloom	তাত
shuttle	মাখু
smoky	গুলুংগুলুং
charcoal	আংঠা
lightning	চালাকচালাক
moon	চান
quicksand	দুলদুলি
rain	মেক
copper	তামা
ringworm	দাদু
go	যায়
phrase	শব্দজড়
four	চৗৰ
five	পাচ
eight	আত
thousand	হাজাৰ
who	কৗই
why	কেনে
where	কুমায়
how many	কয়ৰা
market	বাজাৰ
uncooked rice	চৗল
English language	ইংৰেজি
weave	বানা গুৰায়
thread	বানাতানা দেয়
weaving tool	বেও
weaving net	বৱা
roll	বুথি
long thread	চল্খা
spinning wheel	চুর্খা
spinning wheel	জুথৰ
thirst	পানিতেস
snake	হাপ
frog	ব্য়াং
year	বছৰ
eleven	এগাৰ
twelve	বাৰো
thirteen	তেৰ
twenty	চুদ্দো
fifteen	পন্দ্র
sixteen	সুল
seventeen	সতৰ
eighteen	আথাৰো
nineteen	উন্নিশ
thirty	তিৰিশ
forty	চুলিশ
sixty	সাট
another	আৰেক
first	পুইলৗ
good	ভালা
very	খুপ
come	আহিবৗ
learn	হিকিবৗ
buy	কিনিবৗ
take	নিবৗ
start	লাগিবৗ
give	দিবৗ
eat	খাবৗ
mud	কাদং
iron	লুহা
