this	по
naked	тас
fire	от
number	сан
five	пеш
bog	сас
city	тура
six	алты
street	орам
Russian	қазақ
one	пир
time	тем
hair	шаш
four	тӧрт
hundred	чӱс
water	суғ
sixty	алтон
star	чылтыс
steel	молат
cloud	пулут
lake	кӧл
yellow	сарығ
summer	чайғы
autumn	кӱскӱ
mountain	тағ
wing	қанат
sword	қылыш
girl	қыс
snow	қар
swan	қуу
seven	четти
eight	сегис
nine	тоғус
two	ийги
twenty	чегирбе
twenty	чебирге
forty	қырық
fifty	элиг
sight	кӧс
song	сарын
axe	малта
mushroom	мешке
silver	кӱмӱш
horn	мӱӱс
village	аал
mind	ағыл
friend	арғыш
nettle	шалғанақ
milk	сӱт
sugar	сакер
wind	чел
three	ӱш
white	ақ
black	қара
lie	чой
ash	кӱл
hare	қозан
cow	нек
палықтар	палық
money	ақча
drop	шурлақ
smoke	тӱдӱн
rain	нағбыр
wind	салғын
year	чыл
end	ужы
salt	тус
tree	ағаш
blood	қан
blue	кӧк
green	чажыл
red	қызыл
shaman	қам
eye	қарақ
ant	қымысқаш
brain	миис
love	кӧлениш
good	чақшы
lightning	чажын
seagull	ағый
азақтар	азақ
апшақтар	апшақ
clean	арығ
эжиктер	эжик
who	кем
қажықтар	қажық
rib	қабырға
қабақтар	қабақ
қажаңнар	қажаң
қабаллар	қабал
честектер	честек
hunter	аңчы
ruthless	ачынмас
go	парарға
hold	тударға
қарындаштар	қарындаш
қыс қарындаштар	қыс қарындаш
эр қарындаштар	эр қарындаш
айланчықтар	айланчық
қааннар	қаан
bloody	қаннығ
чадығлар	чадығ
lie	чадарға
person	кижи
tambourine	тӱӱр
mirror	кӱзеген
glacier	мустағ
ice	мус
table	терги
rain	нағбур
gather	сағарға
fish	палықтарға
келескиннер	келескин
return	нанарға
wolf	пӧрӱ
friend	нанчы
devil	айна
old man	апшый
news	қабар
cannon	сарбазан
comb	тарарға
cut	кезерге
give back	нандырарға
falcon	лачын
arrow	соған
cliff	қайа
boat	кебе
force	кӱш
game	ойун
armor	қуйақ
worker	ишчи
work	иш
paper	қат
take	аларға
sing	сарнарға
flood	шайық
honey	пал
kalach	қалаш
polecat	шарғылақ
spring	часқы
winter	қышқы
bullfinch	шурчақ
snowflake	қарчақ
snowfall	кӧңме
magpie	саасқан
swallow	қарлығаш
crow	қарға
saddle	эзер
wrestling	кӱреш
heart	чӱрек
heavy	аар
dense	тум
bird cherry	ныбырт
people	улус
peach	шаптал
pomegranate	анар
cabbage	қапыста
carrot	марқоп
mercury	ӱртӱт
marble	мармар
here	мында
boy	оол
land	чер
script	пичик
right	оң
pig	шошқа
fairy tale	ныбақ
what	ноо
instead of	орнуна
thief	чулғуш
sparrow	поракий
enemy	ырчы
enemy	ӧштӱг
lie	чойла
doctor	эмчи
everything	тооза
sin	қыйал
church	тегреби
God	қудай
afraid	қорук
forest	чыш
big	улуғ
head	паш
file	эге
yellow	сарыг
calf	пыза
and	пазоқ
snowstorm	поран
road	чол
not	эбес
bead	мунчуқ
nephew	чеени
red	чегрен
sharp	чидиг
little	кичиг
gadwall	пор öртек
war	соғуш
become	поларға
color	ӧң
knife	пычақ
count	санарға
