cigarette	inu
agave	yau
hair	ixi
eat	caji
gopher	tusá
chili pepper	yaha
water	nduča
woman	ñãʔã
fawn	mítú
mountain	yucu
calf	chelu
water	nducha
cat	vílu
mouth	yuhu
deer	isū
tree	yunu
moon	yoō
river	yūcha
stone	yuū
armadillo	yaquin
snake	coō
fish	tɨyácá
rabbit	isō
metate	yōsó
navel	xendu
bean	nduchi
hand	ndaha
rebozo	pañú
squirrel	cuáñu
plough	latú
lamb	lélú
pineapple	viji
opossum	jāco
porcupine	jāco íñú
comal	jiō
hummingbird	ndīyoho
sandal	ndijān
pus	lacua
comb	cucā
dish	cohō
horse	cuayú
coyote	váhū
bitter	uā
man	chāa
rain	saū
tortilla	staā
salty	uhā
white-nosed coati	yiyī
hole	yaū
money	xūhún
salt	ñiī
spiderweb	xnduhā
two	uū
mouse	tɨñí
roadrunner	súhūn
foot	jahā
turkey cock	cóhló
sickness	cuehē
thicket	cuhū
scorpion	curxiucū
fish	chácá
ant	chócó
flower	itā
milpa	itū
basket	jīca
coronilla	jēhñu
oven	jinū
racoon	máhān
fiber	ndaā
broom	ndācu
grinding stone	ndaha yóso
fruit	ndehē
