four	ოთხი
five	ხუთი
sister	და
Mingrelian	ა
hand	ხე
horse	ცხენი
rice	ბრინჯი
Georgia	საქორთუო
town	ქალაქი
big	დიდი
sky	ცა
Mingrelian language	მარგალური ნინა
language	ნინა
mother	დიდა
father	მუმა
brother	ჯიმა
place	აბანი
winter	ზოთონჯი
Samegrelo	სამარგალო
grain	კაკალი
spider	ბორბოლია
goose	ბატი
lime	კირი
ship	გემი
blue	ლურჯი
goat	თხა
moment	წამი
wind	ქარი
Mingrelian	მარგალი
treasure	განძი
undergrowth	ბარდი
millet	ფატი
ceiling	ცხვენი
unity	ერთობა
water	წყარი
night	სერი
time	ჟამი
robber	ავაზაკი
wine	ღვინი
mule	ჯორი
wolf	გერი
cattle	ორიჯი
cow	ორჯი
cat	კატუ
mosquito	კოღო
Denmark	დანია
Italy	იტალია
bridge	ხინჯი
sheep	შხური
face	სახე
sparrow	ჩიტი
Wikipedia	ვიკიპედია
meat	ხორცი
woman	ოსური
deck	იატაკი
weather	ამინდი
sail	არფა
plough	გუთანი
hoe	თოხი
aunt	მამიდა
pretence	მიზეზი
boat	ნიში
priest	პაპა
bee	სკა
soul	შური
saw	ხორხი
pheasant	ხოხობი
herd	ჯოგი
thief	მახინჯი
first	პირველი
sheep	ერჯი
tale	არიკი
snow	თირი
frog	გორდი
road	ზა
tinder	ობედი
minute	წუმი
minute	აკაწუნს
puppy	ლაკვი
dog	ჯოღორი
king	მაფა
spruce	ნუზუ
grandfather	პაპუ
chest	კიდირი
tomorrow	ჭუმე
glue	ჭაბუ
wall	კჷდალა
man	კოჩი
God	ღორონთი
fern	გვიმორა
tree	ჯა
voice	ხუმა
snake	გვერი
wife	ჩილი
home	ოხორი
face	პიჯი
heart	გური
same	ართი
two	ჟირი
three	სუმი
six	ამშვი
seven	შქვითი
მარუო	რუო
nine	ჩხორო
ten	ვითი
unfit	ბურდი
tooth	კიბირი
nose	ჩხვინდი
hug	ხუტოლი
fart	ბუზინი
eye	თოლი
family	თი
under	თუდოლე
last night	ღუმა
day	დღა
passage	ობახე
mosquito	კოღონა
partridge	კოკობე
pigeon	ტორონჯი
brain	ტვენი
coal	ნოშქვერი
mist	ნირსი
flour	ქვირი
father	ბაბა
blood	ზისხირი
precisely	ხუთი კითიცალო
copper	ლინჯი
wild strawberry	მურღი
wooden ladder	ტკვარჩელი
ladder	ტკვა
white	ჩე
lung	ფირტვი
lung	ფიჟვი
pear	სხული
thick	შხუ
sickle	მაგანა
Sun	ჩხანა
old	ჯვეში
love	ჸოროფა
girl	ძღაბი
Monday	თუთაშხა
Tuesday	თახაშხა
Wednesday	ჯუმაშხა
Thursday	ცაშხა
Friday	ობიშხა
tamada	ტოლიბაში
piglet	ჩიხუ
vessel	ჭკუჯი
wind	ბორია
idiot	ბორო
uprising	აბუნტება
cowshed	აგვარა
dispute	ჩხუპი
or	ვარი
master	პატონი
leek	პურასკია
parasite	მუქთა-ხორა
state	სახენწჷფო
hen	დოჸია
child	ბაღანა
star	მურიცხი
corn	ლაიტი
church	ოხვამე
grandchild	მოთა
fork	ჩქიფი
spoon	კიზი
table	სტოლი
comrade	აფხანაკი
cat	ციბა
thief	ქვირთუ
pretence	ბაძაძი
beehive	ოსქალე
leader	მადუდური
leader	დუდკოჩი
fish	ჩხომი
fisherman	მეჩხომე
baker	მექობალე
city	ნოღა
venom	ჟღამი
pheasant	ქილორი
სქანი ჭირი მა	სქანი ჭირი მა
onion	ხვარხვი
name	ჯოხო
scissors	მარგატელი
blanket	შქართუნი
beard	ბჟაკე
beard	ფრიმული
rain	ჭვიმა
merchant	ვანჭარი
sail	ერქემი
sail	არქანი
cyclamen	ტკვარჩელია
hare	ჸურდგელი
uncountable	ლამუსი
celery	სონა
volleyball	ფურინბურთი
quail	ჭყორი
knife	ხამუ
heel	ქურსი
rub	ხორხაფი
forest	ტყა
easy	ანდვილი
August	მარაშინათუთა
December	ქირსეთუთა
girl	ცირა
conscience	სვინდისი
Georgian	ქორთუ
buttocks	მუნდი
watermelon	ხაბურზაკი
Saint George	ჯეგე
sweet	ჰამო
spring onion	სორხი
Turkish	თურქი
Turkish	თანთარი
slave	ჭკორი
false	ფარშივი
home	ჸუდე
Persia	ქურანი
წურწუმია	ლე- -ე
goose	ღორღონჯი
Christmas	ქირსე
hazelnut	თხირი
ear	ჸუჯი
pig	ღეჯი
country	ქიჸანა
black	უჩა
weather	ტაროზი
weather	ხანდარა
melon	შინკა
branch	ჸა
breakfast	საკაკალო
apple	უშქური
time	ბორჯი
September	ეკენია
folk	კათა
hail	კირცხი
mud	ლეტა
crow	კვარია
blackberry	მუჸია
scabbard	ორჩხე
kitten	ცინდალი
salt	ჯიმუ
smith	ჭკადუ
fishing net	მოსა
maple	ლაკინჩხა
net	ოჯიჯე
thief	მახირალი
oak	ჭყონი
