hour	ঘণ্টা
day	দিন
we	আমি
you	তুমি
blow	বলা
কিৱি ফল	-টা
Japan	জাপান
apple	আপেল
milk	দুধ
Assamese	অ
Assamese	আ
camel	উট
milk	দুগ্ধ
lac	লাখ
island	দ্বীপ
restaurant	হোটেল
river	নদী
name	নাম
one	এক
two	দুই
five	পাঁচ
six	ছয়
seven	সাত
ear	কান
face	মুখ
nose	নাক
head	মাথা
key	চাবি
immature	কাঁচি
cave	গুহা
snake	সাপ
flower	ফুল
singer	গায়ক
look	চা
fruit	ফল
mango	আম
orange	কমলা
potato	আলু
ginger	আদা
dictionary	অভিধান
cloud	মেঘ
see	দেখা
song	গান
translation	অনুবাদ
word	শব্দ
Assamese	ঈ
language	ভাষা
Hong Kong	হংকং
death	মৃত্যু
China	চীন
writing	লিপি
moon	চাঁদ
open	খোলা
known	জানা
play	খেলা
history	ইতিহাস
drawn	আঁকা
sand	বালি
good	ভাল
golden jackal	শিয়াল
dance	নাচা
think	ভাবা
fire	অগ্নি
easy	সহজ
rose	গোলাপ
season	ঋতু
hand	হাত
but	কিন্তু
Felidae	বাঘ
there is	আছে
younger brother	ভাই
bear	ভালুক
beak	ঠোঁট
Assamese	এ
Assamese	ও
three	তিনি
same	একে
animal	পশু
classifier	-জন
June	জুন
July	জুলাই
what	কি
beauty	সৌন্দর্য
Dutch	ওলন্দাজ ভাষা
Assamese	অসমীয়া ভাষা
one	এখন
thanks	ধন্যবাদ
new	নতুন
list	তালিকা
sweat	ঘাম
sweated	ঘামা
whale	তিমি
tooth	দাঁত
science	বিজ্ঞান
scientific	বৈজ্ঞানিক
lived	থাকা
plant	উদ্ভিদ
Pakistan	পাকিস্তান
time	সময়
bought	কিনা
sheep	ভেড়া
historical	ঐতিহাসিক
linguistics	ভাষাবিজ্ঞান
linguistic	ভাষাবৈজ্ঞানিক
dancing display	পেখম
fish	মাছ
snail	শামুক
scorpion	বৃশ্চিক
cut	কাটা
air	বায়ু
Assamese	উ
Assamese	ঊ
Assamese	ঋ
Assamese	ঐ
Assamese	ঔ
Assamese	খ
Assamese	গ
Assamese	ঘ
Assamese abugida	ঙ
Assamese	চ
Assamese	ছ
Assamese	জ
Assamese	ঝ
Assamese	ঞ
Assamese	ণ
Assamese	ঠ
Assamese	ট
Assamese	ড
Assamese	ঢ
Assamese	ধ
Assamese	ত
Assamese	প
Assamese	ফ
Assamese	ভ
Assamese	ম
Assamese	য
Assamese	ল
Assamese	ষ
Assamese	ঢ়
Assamese	স
Assamese	হ
Assamese	য়
Assamese	ড়
data	তথ্য
photo	ফটো
event	ঘটনা
rice	ভাত
bloomed	ফুলা
education	শিক্ষা
college	কলেজ
school	স্কুল
butter	মাখন
India	ভাৰত
too	-ও
scrotum	অণ্ডকোষ
daily	দৈনিক
area	অঞ্চল
call	মাতা
father	পিতা
who	কোন
pulled	টানা
oil	তেল
cheek	গাল
translator	অনুবাদক
imagination	কল্পনা
preference	পছন্দ
melted	গলা
animal	জন্তু
feather	পাখি
oxygen	অম্লজান
blue	নীল
some	কিছু
